latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
35.149809,-77.472319,014,036,1280,1892,2025-09-22,1541,L8,high,D
35.413996,-77.419916,014,036,1463,919,2025-09-22,1541,L8,low,D
34.786151,-77.373231,014,036,1549,3244,2025-09-22,1541,L8,high,D
34.785881,-77.373223,014,036,1549,3245,2025-09-22,1541,L8,high,D
34.786157,-77.372903,014,036,1550,3244,2025-09-22,1541,L8,high,D
35.512935,-77.210541,014,036,2105,568,2025-09-22,1541,L8,high,D
35.512665,-77.210534,014,036,2105,569,2025-09-22,1541,L8,high,D
35.452151,-76.546162,014,036,4110,831,2025-09-22,1541,L8,high,D
35.413996,-77.419916,014,035,143,6189,2025-09-22,1541,L8,low,D
35.512935,-77.210541,014,035,785,5838,2025-09-22,1541,L8,high,D
35.512665,-77.210534,014,035,785,5839,2025-09-22,1541,L8,high,D
36.121462,-76.652516,014,035,2510,3621,2025-09-22,1541,L8,high,D
35.632443,-76.575468,014,035,2712,5433,2025-09-22,1541,L8,high,D
35.632447,-76.575137,014,035,2713,5433,2025-09-22,1541,L8,high,D
35.632177,-76.575132,014,035,2713,5434,2025-09-22,1541,L8,high,D
35.452146,-76.546493,014,035,2789,6101,2025-09-22,1541,L8,low,D
35.452151,-76.546162,014,035,2790,6101,2025-09-22,1541,L8,high,D
35.574652,-76.461115,014,035,3054,5652,2025-09-22,1541,L8,high,D
35.507975,-75.997126,014,035,4453,5916,2025-09-22,1541,L8,low,D
35.88178,-75.929338,014,035,4671,4536,2025-09-22,1541,L8,medium,D
35.881782,-75.929005,014,035,4672,4536,2025-09-22,1541,L8,high,D
35.881512,-75.929002,014,035,4672,4537,2025-09-22,1541,L8,high,D
36.02229,-75.664629,014,035,5471,4023,2025-09-22,1541,L8,high,D
36.022019,-75.664627,014,035,5471,4024,2025-09-22,1541,L8,high,D
35.993367,-75.661391,014,035,5480,4130,2025-09-22,1541,L8,high,D
35.99044,-75.652713,014,035,5506,4141,2025-09-22,1541,L8,high,D
35.989632,-75.652041,014,035,5508,4144,2025-09-22,1541,L8,high,D
35.989904,-75.651711,014,035,5509,4143,2025-09-22,1541,L8,high,D
42.671006,-75.299175,014,031,1460,543,2025-09-22,1539,L8,low,D
42.490752,-73.765071,014,031,5660,1187,2025-09-22,1539,L8,low,D
